Tempo (s),Y,Set Point
154.55368494987488,46.88,50
154.6545147895813,46.39,50
154.75557589530945,46.88,50
154.85709929466248,46.88,50
154.95768570899963,46.39,50
155.0587193965912,46.88,50
155.1601414680481,46.88,50
155.2614026069641,46.88,50
155.36254405975342,46.88,50
155.46389293670654,46.88,50
155.56562519073486,46.88,50
155.66651344299316,46.88,50
155.76805806159973,47.36,50
155.86862754821777,47.36,50
155.9693968296051,46.88,50
156.0709047317505,47.36,50
156.17248463630676,46.88,50
156.2733314037323,47.36,50
156.37389707565308,47.36,50
156.4748351573944,47.36,50
156.57590460777283,47.36,50
156.67655277252197,47.36,50
156.7774896621704,47.36,50
156.87842774391174,47.36,50
156.97939538955688,47.36,50
157.0800108909607,47.36,50
157.18121075630188,47.36,50
157.28250908851624,47.36,50
157.38332390785217,47.85,50
157.4847767353058,47.36,50
157.58602738380432,47.85,50
157.68705368041992,47.85,50
157.78873586654663,47.85,50
157.88905811309814,47.85,50
157.98975896835327,48.34,50
158.09115743637085,48.34,50
158.19252634048462,47.85,50
158.29381918907166,47.85,50
158.3948268890381,48.34,50
158.49560523033142,48.34,50
158.59717965126038,48.34,50
158.69857454299927,48.34,50
158.79925537109375,48.34,50
158.9006519317627,48.34,50
159.00128865242004,48.34,50
159.10274386405945,48.34,50
159.20381021499634,48.34,50
159.30514001846313,48.34,50
159.40577173233032,48.34,50
159.50686883926392,48.83,50
159.6075177192688,48.83,50
159.70865082740784,48.83,50
159.80995631217957,48.83,50
159.9106683731079,48.83,50
160.0118865966797,48.83,50
160.11268591880798,48.83,50
160.21337413787842,48.83,50
160.3139660358429,48.83,50
160.41526103019714,48.83,50
160.5161271095276,48.83,50
160.61798787117004,48.83,50
160.71956133842468,48.83,50
160.82006430625916,48.83,50
161.02112340927124,49.32,38
161.02112340927124,49.32,38
161.12270426750183,49.32,38
161.22345328330994,49.32,38
161.3247389793396,49.32,38
161.4256455898285,49.8,38
161.5271806716919,49.8,38
161.62850213050842,49.32,38
161.72915649414062,49.8,38
161.83050656318665,49.8,38
161.93143153190613,49.8,38
162.03251576423645,49.8,38
162.1337423324585,49.32,38
162.2347948551178,49.32,38
162.33563947677612,49.8,38
162.43733024597168,49.8,38
162.53820395469666,49.8,38
162.63909101486206,50.29,38
162.74066162109375,49.8,38
162.84194898605347,49.8,38
162.9435911178589,49.8,38
163.0449573993683,49.8,38
163.14556241035461,49.8,38
163.24655866622925,50.29,38
163.34764456748962,49.8,38
163.44815039634705,50.29,38
163.54881930351257,50.29,38
163.64950919151306,50.29,38
163.75053524971008,50.29,38
163.8511462211609,50.29,38
163.95196151733398,50.29,38
164.0524034500122,50.29,38
164.15318489074707,50.78,38
164.25405859947205,50.29,38
164.35511469841003,50.29,38
164.4554886817932,50.29,38
164.55601143836975,50.29,38
164.65638995170593,50.29,38
164.75710368156433,50.78,38
164.85832858085632,50.78,38
164.9594383239746,50.29,38
165.05957508087158,50.78,38
165.16108226776123,50.78,38
165.26178216934204,50.78,38
165.3626184463501,50.78,38
165.46381068229675,50.78,38
165.56483364105225,50.78,38
165.66656041145325,50.78,38
165.76772546768188,50.78,38
165.8685576915741,51.27,38
165.968768119812,50.78,38
166.0699484348297,50.78,38
166.17110586166382,50.78,38
166.27267360687256,50.78,38
166.37411046028137,50.78,38
166.47498488426208,50.78,38
166.57622861862183,50.78,38
166.677232503891,51.27,38
166.77845811843872,50.78,38
166.879700422287,51.27,38
166.98102807998657,50.78,38
167.08181524276733,51.27,38
167.18342423439026,51.27,38
167.2846736907959,51.27,38
167.38526701927185,51.27,38
167.48554110527039,51.27,38
167.58647203445435,51.27,38
167.6877920627594,51.27,38
167.7884783744812,51.27,38
167.8904197216034,51.27,38
167.99090433120728,51.27,38
168.0916531085968,51.27,38
168.192556142807,51.27,38
168.29358744621277,51.76,38
168.39476943016052,51.27,38
168.49577021598816,51.76,38
168.59656953811646,51.76,38
168.69799399375916,51.76,38
168.79887104034424,51.27,38
168.89996099472046,51.27,38
169.00114011764526,51.27,38
169.10200691223145,51.76,38
169.20282363891602,51.76,38
169.3042755126953,51.27,38
169.40558671951294,51.76,38
169.5063841342926,51.76,38
169.6076741218567,51.27,38
169.70818901062012,51.27,38
169.8099069595337,51.76,38
169.9110004901886,50.78,38
170.0126142501831,51.27,38
170.11305832862854,51.76,38
170.21362829208374,51.76,38
170.3146893978119,51.76,38
170.41637301445007,51.76,38
170.5174915790558,51.76,38
170.61809873580933,51.76,38
170.71881103515625,51.76,38
170.81946897506714,51.76,38
170.92064881324768,51.76,38
171.02150082588196,51.27,38
171.12215065956116,51.27,38
171.22352290153503,50.78,38
171.32447218894958,51.76,38
171.42568516731262,51.76,38
171.5268383026123,51.76,38
171.62734031677246,51.76,38
171.7285876274109,52.25,38
171.82958698272705,51.76,38
171.93066096305847,51.76,38
172.0312728881836,51.27,38
172.13283348083496,51.76,38
172.23417830467224,51.76,38
172.3356556892395,51.76,38
172.43684935569763,51.27,38
172.5379512310028,51.76,38
172.63898921012878,51.76,38
172.74018788337708,51.76,38
172.84172677993774,51.76,38
172.94301295280457,51.27,38
173.04317808151245,51.76,38
173.144052028656,51.27,38
173.2450771331787,51.76,38
173.34574365615845,51.76,38
173.44686555862427,51.27,38
173.54817366600037,51.76,38
173.64898800849915,51.76,38
173.7502498626709,51.76,38
173.85185074806213,51.76,38
173.95295786857605,51.76,38
174.05356073379517,51.76,38
174.15477776527405,51.76,38
174.25530171394348,51.76,38
174.3560812473297,51.76,38
174.45680689811707,51.76,38
174.55799198150635,51.76,38
174.65914678573608,51.76,38
174.7601900100708,51.76,38
174.86135506629944,51.76,38
174.96249651908875,51.76,38
175.06355333328247,51.76,38
175.1648554801941,51.76,38
175.26528358459473,51.76,38
175.3662989139557,51.76,38
175.46770238876343,51.76,38
175.56921410560608,51.76,38
175.66978859901428,51.76,38
175.77161836624146,51.76,38
175.87185287475586,51.76,38
175.97233533859253,51.76,38
176.0738480091095,51.76,38
176.1752324104309,51.76,38
176.27641654014587,51.27,38
176.3770351409912,51.76,38
176.4785270690918,51.76,38
176.57995223999023,51.76,38
176.6807599067688,51.27,38
176.7818319797516,51.76,38
176.88260078430176,51.76,38
176.98374342918396,51.27,38
177.0845799446106,51.76,38
177.18524193763733,51.76,38
177.28600215911865,51.76,38
177.38785791397095,51.76,38
177.48859357833862,51.76,38
177.58991837501526,51.76,38
177.69051504135132,51.76,38
177.79192328453064,51.76,38
177.89341139793396,51.76,38
177.9943447113037,51.27,38
178.0951747894287,51.76,38
178.19660258293152,51.27,38
178.29810237884521,51.27,38
178.39886951446533,51.76,38
178.4999315738678,51.76,38
178.6005437374115,51.27,38
178.70111346244812,51.27,38
178.80184030532837,52.25,38
178.90293765068054,51.27,38
179.00439858436584,51.27,38
179.1052165031433,51.27,38
179.20600819587708,51.76,38
179.30707788467407,51.27,38
179.4084095954895,51.76,38
179.50908160209656,51.27,38
179.61033272743225,51.27,38
179.71187019348145,50.78,38
179.81300568580627,51.76,38
179.9141960144043,51.76,38
180.0153489112854,51.27,38
180.11641812324524,51.27,38
180.21750807762146,51.27,38
180.31884264945984,51.27,38
180.41990685462952,51.27,38
180.52110695838928,51.27,38
180.62185406684875,51.27,38
180.7229199409485,51.27,38
180.8244390487671,51.27,38
180.92517495155334,51.27,38
181.02588725090027,51.27,38
181.12646770477295,51.27,38
181.22725677490234,51.27,38
181.32849860191345,51.27,38
181.43033361434937,51.27,38
181.5307490825653,51.27,38
181.63180541992188,51.27,38
181.73193979263306,51.27,38
181.83382439613342,51.27,38
181.934504032135,51.27,38
182.03543519973755,51.27,38
182.13629698753357,51.27,38
182.23727250099182,51.27,38
182.33837985992432,51.27,38
182.43992018699646,51.27,38
182.54072952270508,51.27,38
182.64123582839966,51.27,38
182.74199962615967,51.27,38
182.84260416030884,51.27,38
182.94379425048828,50.78,38
183.0448455810547,50.29,38
183.14577913284302,51.27,38
183.24703168869019,50.78,38
183.34844160079956,50.78,38
183.4489028453827,50.78,38
183.5507092475891,51.27,38
183.6508903503418,50.78,38
183.75138354301453,50.78,38
183.85244965553284,50.78,38
183.95374751091003,50.78,38
184.05481433868408,50.78,38
184.15509510040283,50.78,38
184.2564971446991,50.78,38
184.35738110542297,50.78,38
184.45800161361694,50.78,38
184.55897092819214,50.29,38
184.66017937660217,51.27,38
184.76125645637512,50.78,38
184.86286783218384,51.27,38
184.96375441551208,51.27,38
185.06492948532104,50.78,38
185.16643261909485,50.78,38
185.2675416469574,51.27,38
185.3685817718506,50.29,38
185.46938276290894,50.78,38
185.57060933113098,50.78,38
185.67210459709167,50.78,38
185.77315950393677,50.78,38
185.87396454811096,50.78,38
185.97520518302917,50.78,38
186.07565712928772,50.78,38
186.17719864845276,50.78,38
186.27839756011963,50.78,38
186.37951827049255,50.29,38
186.48064947128296,50.78,38
186.5817060470581,50.29,38
186.68242168426514,50.78,38
186.78356075286865,50.29,38
186.88388919830322,50.78,38
186.98534417152405,50.78,38
187.08591508865356,50.29,38
187.187171459198,50.78,38
187.28829407691956,50.29,38
187.38927245140076,50.29,38
187.49092197418213,50.78,38
187.59239959716797,50.29,38
187.69323635101318,50.29,38
187.7943389415741,50.29,38
187.89485096931458,50.78,38
187.9955518245697,50.78,38
188.09655833244324,50.29,38
188.1978030204773,50.29,38
188.29872751235962,50.29,38
188.3998920917511,50.29,38
188.50059032440186,50.29,38
188.6019082069397,50.29,38
188.7029139995575,50.29,38
188.80405044555664,50.29,38
188.90488958358765,50.29,38
189.00554537773132,50.29,38
189.10649919509888,50.29,38
189.20805764198303,50.29,38
189.3091013431549,49.8,38
189.41029357910156,49.8,38
189.51152396202087,50.29,38
189.61315369606018,49.8,38
189.71387219429016,49.8,38
189.81405067443848,49.8,38
189.91540145874023,49.8,38
190.01640677452087,49.8,38
190.11760711669922,49.8,38
190.21878027915955,49.8,38
190.31994247436523,49.8,38
190.421569108963,49.8,38
190.52257347106934,49.8,38
190.62379384040833,49.8,38
190.7243046760559,49.8,38
190.82518196105957,49.8,38
190.92611122131348,49.8,38
191.02726674079895,49.8,38
191.12861585617065,49.8,38
191.2302119731903,49.8,38
191.33134007453918,49.8,38
191.43243217468262,49.8,38
191.5342662334442,49.8,38
191.63501524925232,49.32,38
191.73615503311157,49.8,38
191.83731818199158,49.32,38
191.9378206729889,49.8,38
192.03913831710815,49.8,38
192.14085698127747,49.8,38
192.2410373687744,49.8,38
192.3429799079895,49.8,38
192.44378900527954,49.32,38
192.5443503856659,49.32,38
192.6453983783722,49.32,38
192.7464463710785,49.32,38
192.8477578163147,49.32,38
192.94899654388428,49.8,38
193.0500373840332,49.32,38
193.15151524543762,49.8,38
193.25219535827637,49.32,38
193.35325288772583,49.8,38
193.4543330669403,49.32,38
193.55526685714722,49.32,38
193.65614199638367,49.32,38
193.75728797912598,49.32,38
193.85856676101685,48.83,38
193.95965576171875,49.32,38
194.06077003479004,49.32,38
194.1620409488678,49.32,38
194.26295018196106,49.32,38
194.36417722702026,49.32,38
194.46495389938354,49.32,38
194.56587100028992,49.32,38
194.66643118858337,49.32,38
194.76703000068665,49.32,38
194.86823844909668,48.83,38
194.96898317337036,48.83,38
195.07026553153992,48.83,38
195.17110753059387,48.83,38
195.2715196609497,48.83,38
195.3726830482483,49.32,38
195.4741358757019,49.32,38
195.57555770874023,48.83,38
195.6766278743744,48.83,38
195.77739357948303,48.34,38
195.8782250881195,48.83,38
195.97995615005493,48.83,38
196.08074688911438,48.83,38
196.1821892261505,49.32,38
196.28296160697937,48.83,38
196.3838918209076,49.8,38
196.4849214553833,48.83,38
